,Latitude,Longitude,name,description,State,Active
373,29.44329,-98.60001,Voice for Animals,http://www.voiceforanimals.org/,Texas,Y
374,32.769955,-97.007217,Animal Connection of Texas,https://www.facebook.com/groups/ntxva/,Texas,Y
375,29.767411,-95.398092,Texas Go Vegan Week,https://www.facebook.com/TexasGoVeganWeek/events/?ref=page_internal,Texas,Y
376,33.211709,-97.147293,Allied Scholars â€” UNT,https://www.alliedscholars.org/university-of-north-texas,Texas,N
377,30.284641,-97.735147,Allied Scholars â€” UT Austin,https://www.alliedscholars.org/utaustin,Texas,N
378,32.78179,-96.832123,"WTF: Dallas, USA",https://www.facebook.com/groups/1516630348701998,Texas,Y
379,32.945878,-96.731873,SOS The University of Texas at Dallas,https://sos.peta.org/join-a-hub/,Texas,N
380,32.787563,-96.768265,SOS Southern Methodist University,https://sos.peta.org/join-a-hub/,Texas,N
381,30.244291,-97.754431,Austin Animal Save,https://www.facebook.com/AustinAnimalSave/,Texas,N
382,30.618709,-96.350784,Allied Scholars â€” Texas A&M,https://www.alliedscholars.org/tamu,Texas,N
383,30.719223,-95.549383,Allied Scholars - Sam Houston University,"https://www.alliedscholars.org/sam-houston-state
instagram.com/asap_shsu",Texas,N
384,30.245605,-97.718628,Action for Animals Austin,https://www.facebook.com/ActionForAnimalsAustin/events/?ref=page_internal,Texas,N
385,31.779256,-106.45443,SOS El Paso Community College,https://sos.peta.org/join-a-hub/,Texas,N
386,29.780393,-95.370833,"AV: Houston, TX, USA",https://www.facebook.com/groups/633531436851603/,Texas,N
387,33.148762,-96.824226,SOS Frisco,https://sos.peta.org/join-a-hub/,Texas,N
388,31.761878,-106.485022,"AV: El Paso, TX, USA",https://www.facebook.com/groups/161298817790407/,Texas,N
389,30.282867,-97.761944,"AV: Austin, TX, USA",https://www.facebook.com/groups/1764608733791982/,Texas,Y
390,31.549333,-97.14667,"AV: Waco, TX, USA",https://www.facebook.com/groups/238282576792638/,Texas,Y
391,29.525073,-95.547409,SOS Missouri City,https://sos.peta.org/join-a-hub/,Texas,N
392,31.553474,-97.129728,Waco Animal Save,https://www.facebook.com/wacoasm/,Texas,N
393,33.197328,-96.618576,SOS Collin College,https://sos.peta.org/join-a-hub/,Texas,N
394,32.73935,-96.796074,"AV:Â Dallas, TX, USA",https://www.facebook.com/groups/308860669525914/,Texas,Y
395,33.010967,-96.813583,SOS Plano,https://sos.peta.org/join-a-hub/,Texas,N
396,29.883275,-97.941394,"AV: San Marcos, TX, USA",https://www.facebook.com/groups/1594801277279372/,Texas,Y
397,33.24242,-96.976318,SOS Providence Village,https://sos.peta.org/join-a-hub/,Texas,N
398,29.742747,-95.350443,Houston Animal Save,https://www.facebook.com/houstonanimalsave/,Texas,N
399,29.916852,-95.484238,SOS Houston,https://sos.peta.org/join-a-hub/,Texas,N
400,32.755488,-97.330766,"AV: Forth Worth, TX, USA",https://www.facebook.com/groups/395218984422844/,Texas,N
401,37.094958,-113.557335,Earthlings Experience Utah,https://www.facebook.com/Earthlings-Experience-Utah-1785791715029015/events/?ref=page_internal,Utah,N
402,40.736072,-111.907768,Utah Animal Rights Coalition (UARC),"UARC.io
https://www.facebook.com/utahanimalrights/events/?ref=page_internal",Utah,N
403,40.296898,-111.694648,"AV: Orem, UT, USA",https://web.facebook.com/groups/314665106088162/,Utah,N
404,37.086469,-113.583771,Animal Justice League of St. George,https://www.facebook.com/AJLSG/,Utah,Y
405,40.222403,-111.674652,SOS Provo High School,https://sos.peta.org/join-a-hub/,Utah,N
406,44.475882,-73.212072,"AV: Burlington, VT, USA",https://www.facebook.com/groups/1803908092975930/,Vermont,N
407,43.610624,-72.972606,"AV: Rutland, VT, USA",https://www.facebook.com/groups/692333791206416/,Vermont,N
408,36.850769,-76.285873,"AV: Norfolk, VA, USA",https://www.facebook.com/groups/511327496407825/,Virginia,N
409,37.540725,-77.436048,"AV: Richmond, VA, USA",https://www.facebook.com/groups/2008462419366735/,Virginia,N
410,36.863907,-76.203206,"AV: Hampton Roads, VA, USA",https://www.facebook.com/groups/128056134586948/,Virginia,N
411,37.40071,-78.447876,Veggie Mijas Virginia,https://www.veggiemijas.com/ https://www.instagram.com/veggiemijas https://www.facebook.com/veggiemijas https://www.tiktok.com/@veggiemijas,Virginia,N
412,37.523886,-77.433357,SOS Richmond,https://sos.peta.org/join-a-hub/,Virginia,N
413,38.029306,-78.476678,"AV: Charlottesville, VA, USA",https://www.facebook.com/groups/1543574825690444/,Virginia,N
414,36.809834,-76.251984,SOS Norfolk,https://sos.peta.org/join-a-hub/,Virginia,N
415,38.719756,-77.766794,Virginia Animal Save,https://www.facebook.com/VirginiaAnimalSave/events/?ref=page_internal,Virginia,N
416,36.98345,-76.633537,Smithfield Pig Save,https://www.facebook.com/SmithfieldPigSave/events/?ref=page_internal,Virginia,N
417,39.04052,-77.490692,SOS Rock Ridge High School,https://sos.peta.org/join-a-hub/,Virginia,N
418,47.653074,-122.307143,Viable Veganism at UW,https://www.instagram.com/viableveganismuw/?igsh=dW02N2N2Njl1cmlj&utm_source=qr,Washington,Y
419,48.748826,-122.460123,Bellingham Animal Save,https://www.facebook.com/Bellingham-Animal-Save-1887967794649516/events/?ref=page_internal,Washington,N
420,45.627226,-122.67273,"AV: Vancouver, WA, USA",https://web.facebook.com/groups/2164622830453677/,Washington,N
421,47.618546,-122.354221,Animal Rising Seattle,https://www.facebook.com/groups/animalrebellionseattle/,Washington,Y
422,46.731467,-117.174489,"Pullman, WA Animal Save",https://www.facebook.com/PullmanWAAnimalSave/,Washington,N
423,47.599045,-122.334995,Campus Animal Rights Educators - CARE,https://www.facebook.com/UWCARE/events/?ref=page_internal,Washington,N
424,47.65469,-117.435324,Courage For Animals,https://www.facebook.com/SpokaneAnimalLiberation/events/?ref=page_internal,Washington,N
425,47.616752,-122.314053,Seattle Farmed Animal Save,https://www.facebook.com/seattlefarmedanimalsave/,Washington,N
426,47.607089,-122.352676,Veggie Mijas Seattle,https://www.veggiemijas.com/ https://www.instagram.com/veggiemijas https://www.facebook.com/veggiemijas https://www.tiktok.com/@veggiemijas,Washington,N
427,46.143368,-122.910043,Kelso Chicken Save,https://www.facebook.com/KelsoChickenSave/events/?ref=page_internal,Washington,N
428,47.623984,-122.334566,Northwest Animal Rights Network (NARN),https://narn.org/,Washington,Y
429,47.657072,-117.418228,"The Earthlings Experience - Spokane, WA",https://www.facebook.com/EarthlingsExperienceSpokane/,Washington,N
430,47.643417,-122.306156,SOS University of Washington,https://sos.peta.org/join-a-hub/,Washington,N
431,47.606626,-122.315598,Justice for Animals - Washington,https://www.facebook.com/groups/529191767823825/,Washington,Y
432,38.34982,-81.632623,"AV: Charleston, WV, USA",https://www.facebook.com/groups/329605144384338/,West Virginia,N
433,43.077039,-89.412146,Allied Scholars â€” UW Madison,https://www.alliedscholars.org/uwmadison,Wisconsin,N
434,43.048282,-87.901268,Milwaukee Animal Rights Network,https://www.facebook.com/groups/2454313511310795/,Wisconsin,Y
435,43.063621,-89.44931,SOS Madison,https://sos.peta.org/join-a-hub/,Wisconsin,N
436,43.060234,-88.10812,SOS Brookfield,https://sos.peta.org/join-a-hub/,Wisconsin,N
437,44.261931,-88.415385,"AV: Appleton, WI, USA",https://www.facebook.com/groups/131973347482188/,Wisconsin,N
438,43.02088,-87.906662,Milwaukee Animal Save,https://www.facebook.com/milwaukeeanimalsave/,Wisconsin,N
439,43.390454,-89.402447,SOS Poynette High School,https://sos.peta.org/join-a-hub/,Wisconsin,N
440,43.044046,-87.91437,"AV:Â Milwaukee, WI, USA",https://www.facebook.com/groups/1228596173953551/,Wisconsin,N
